1-1	那是力争上游的一种树，笔直的干，笔直的枝。
16-18	又向后移去，仿佛消失在#1茫茫的远方。
16-19	而火光#1却依然停在前头，闪闪发亮，
16-20	令人神往——依然是这么近，又依然是那么远……
16-21	现在，无论是这条#1被悬崖峭壁的阴影#1笼罩的漆黑的河流，
16-22	还是那一星明亮的火光，都经常浮现在我的脑际。
16-23	在这以前#1和在这以后，曾有许多火光，
16-24	似乎#1近在咫尺，不止使我一人#1心驰神往。
16-25	可是#1生活之河#1却仍然在那阴森森的两岸之间#1流着，
16-26	而火光#1也依旧非常遥远。
16-27	因此，必须加劲划桨……
16-28	然而，火光啊……毕竟……毕竟#1就在前头！……
16-29	节选自#1[俄]柯罗连科#1《火光》，张铁夫译
17-0	作品17号#1《济南的冬天》
17-1	对于一个在北平住惯的人，像我，
17-2	冬天要是不刮风，便觉得#1是奇迹；
17-3	济南的冬天#1是没有风声的。
17-4	对于一个刚由伦敦回来的人，像我，
17-5	冬天#1要能看得见日光，便觉得#1是怪事；
17-6	济南的冬天#1是响晴的。
17-7	自然，在热带的地方，日光#1永远是那么毒，
17-8	响亮的天气，反有点儿叫人害怕。
17-9	可是，在北方的冬天，而能有温晴的天气，济南#1真得算个宝地。
17-10	设若单单是有阳光，那也算不了出奇。
17-11	请闭上眼睛想：
17-12	一个老城，有山有水，全在天底下晒着阳光，暖和安适地睡着，只等春风来#1把它们唤醒，这是不是#1理想的境界？
17-13	小山#1整把济南围了个圈儿，只有北边缺着点口儿。
17-14	这一圈小山#1在冬天特别可爱，
17-15	好像是把济南#1放在一个小摇篮里，
17-16	它们安静不动地#1低声地说：
17-17	“你们放心吧，这儿准保暖和。”
17-18	真的，济南的人们#1在冬天#1是面上含笑的。
17-19	他们一看那些小山，心中便觉得有了着落，有了依靠。
17-20	他们由天上看到山上，便不知不觉地想起：
17-21	明天也许就是春天了吧？
17-22	这样的温暖，今天夜里山草#1也许就绿起来了吧？
17-23	就是这点儿幻想#1不能一时实现，他们#1也并不着急，
17-24	因为这样慈善的冬天，干什么#1还希望别的呢！
17-25	最妙的#1是下点儿小雪呀。
17-26	看吧，山上的矮松#1越发的青黑，
17-27	树尖儿上#1顶着一髻儿白花，好像日本看护妇。
17-28	山尖儿#1全白了，给蓝天#1镶上一道银边。
17-29	山坡上，有的地方#1雪厚点儿，有的地方#1草色还露着；
17-30	这样，一道儿白，一道儿暗黄，给山们#1穿上一件带水纹儿的花衣；
17-31	看着看着，这件花衣31好像被风儿吹动，
17-32	叫你希望看见一点儿更美的#1山的肌肤。
17-33	等到快日落的时候，微黄的阳光#1斜射在山腰上，
17-34	那点儿薄雪#1好像忽然害羞，微微露出点儿粉色。
17-35	就是下小雪吧，济南是受不住大雪的，
17-36	那些小山#1太秀气。
17-37	节选自#1老舍#1《济南的冬天》
18-0	作品18号#1《家乡的桥》
18-1	纯朴的家乡村边#1有一条河，曲曲弯弯，
18-2	河中#1架一弯石桥，弓样的小桥#1横跨两岸。
18-3	每天，不管是鸡鸣晓月，日丽中天，
18-4	还是月华泻地，小桥#1都印下#1串串足迹，洒落#1串串汗珠。
18-5	那是乡亲#1为了追求多棱的希望，兑现美好的遐想。
18-6	弯弯小桥，不时荡过#1轻吟低唱，不时露出#1舒心的笑容。
18-7	因而，我稚小的心灵，曾将心声#1献给小桥：
18-8	你是一弯银色的新月，给人间#1普照光辉；
18-9	你是一把闪亮的镰刀，割刈着#1欢笑的花果；
18-10	你是一根晃悠悠的扁担，挑起了#1彩色的明天！
18-11	哦，小桥#1走进我的梦中。
18-12	我在飘泊他乡的岁月，心中总涌动着#1故乡的河水，
18-13	梦中总看到#1弓样的小桥。
18-14	当我访南疆#1探北国，眼帘闯进座座雄伟的长桥时，
18-15	我的梦#1变得丰满了，增添了#1赤橙黄绿青蓝紫。
18-16	三十多年过去，我带着满头霜花#1回到故乡，
18-17	第一紧要的#1便是去看望小桥。
18-18	啊！小桥呢？
18-19	它躲起来了？
18-20	河中一道长虹，浴着朝霞#1熠熠闪光。
18-21	哦，雄浑的大桥#1敞开胸怀，汽车的呼啸、
18-22	摩托的笛音、自行车的叮铃，合奏着#1进行交响乐；
18-23	南来的钢筋、花布，北往的柑橙、
18-24	家禽，绘出交流欢悦图……
18-25	啊！蜕变的桥，传递了家乡#1进步的消息，
18-26	透露了家乡富裕的声音。
18-27	时代的春风，美好的追求，
18-28	我蓦地记起儿时唱给小桥的歌。
18-29	哦，明艳艳的太阳#1照耀了，
18-30	芳香甜蜜的花果#1捧来了，五彩斑斓的岁月#1拉开了！
18-31	我心中涌动的河水，激荡起甜美的浪花。
18-32	我仰望一碧蓝天，心底轻声呼喊：
18-33	家乡的桥啊，我梦中的桥！
18-34	节选自#1郑莹#1《家乡的桥》
19-0	作品19号#1《坚守你的高贵》
19-1	三百多年前，
19-2	建筑设计师#1莱伊恩#1受命设计了#1英国温泽市政府大厅。
19-3	他运用工程力学的知识，依据自己多年的实践，
19-4	巧妙地#1设计了#1只用一根柱子#1支撑的大厅天花板。
19-5	一年以后，市政府权威人士#1进行工程验收时，
19-6	却说#1只用一根柱子#1支撑天花板太危险，
19-7	要求莱伊恩#1再多加几根柱子。
19-8	莱伊恩自信#1只要一根坚固的柱子#1足以保证大厅安全，
19-9	他的“固执”惹恼了市政官员，险些被送上法庭。
19-10	他非常苦恼，坚持自己原先的主张吧，
19-11	市政官员#1肯定#1会另找人修改设计；
19-12	不坚持吧，又有悖自己为人的准则。
19-13	矛盾了很长一段时间，莱伊恩#1终于想出了#1一条妙计。
19-14	他在大厅里#1增加了四根柱子，
19-15	不过#1这些柱子并未与天花板接触，只不过是#1装装样子。
19-16	三百多年过去了，这个秘密#1始终没有被人发现。
19-17	直到前两年，市政府#1准备修缮大厅的天花板，
19-18	才发现#1莱伊恩当年的“弄虚作假”。
19-19	消息传出后，世界各国的建筑专家和游客云集。
19-20	当地政府#1对此也不加掩饰，在新世纪到来之际，
19-21	特意将大厅#1作为一个旅游景点对外开放，
19-22	旨在引导人们#1崇尚#1和相信科学。
19-23	作为一名建筑师，莱伊恩并不是最出色的。
19-24	但作为一个人，他无疑非常伟大，
19-25	这种伟大#1表现在#1他始终恪守着自己的原则，
19-26	给高贵的心灵#1一个美丽的住所：
19-27	哪怕是遭遇到最大的阻力，也要#1想办法抵达胜利。
19-28	节选自#1游宇明#1《坚守你的高贵》
20-0	作品20号#1《金子》
20-1	自从传言#1有人在萨文河畔散步时#1无意发现了金子后，
20-2	这里#1便常有#1来自四面八方的淘金者。
20-3	他们都想成为富翁，于是#1寻遍了整个河床，
20-4	还在河床上#1挖出很多大坑，希望借助它们#1找到更多的金子。
20-5	的确，有一些人找到了，
20-6	但另外一些人#1因为一无所得#1而只好扫兴归去。
20-7	也有不甘心落空的，便驻扎在这里，继续寻找。
20-8	彼得·弗雷特#1就是其中一员。
20-9	他在河床附近买了一块没人要的土地，一个人#1默默地工作。
20-10	他为了找金子，已把所有的钱#1都押在这块土地上。
20-11	他埋头苦干了几个月，直到土地#1全变成了坑坑洼洼，
20-12	他失望了——他翻遍了整块土地，但连一丁点儿金子都没看见。
20-13	六个月后，他连买面包的钱都没有了。
20-14	于是#1他准备离开这儿#1到别处去谋生。
20-15	就在他即将离去的#1前一个晚上，
20-16	天下起了倾盆大雨，并且一下#1就是三天三夜。
20-17	雨终于停了，彼得走出小木屋，
20-18	发现眼前的土地#1看上去好像和以前不一样：
20-19	坑坑洼洼#1已被大水冲刷平整，
20-20	松软的土地上#1长出一层绿茸茸的小草。
20-21	“这里没找到金子，”
20-22	彼得忽有所悟地说，
20-23	“但这土地很肥沃，我可以用来种花，
20-24	并且拿到镇上#1去卖给那些富人，他们一定会买些花#1装扮他们华丽的客厅。
20-25	如果真是这样的话，那么我一定会赚许多钱，有朝一日#1我也会成为富人……”
20-26	于是#1他留了下来。
20-27	彼得花了不少精力#1培育花苗，
20-28	不久#1田地里长满了#1美丽娇艳的各色鲜花。
20-29	五年以后，彼得终于实现了他的梦想——成了一个富翁。
20-30	“我是唯一的一个找到真金的人！”
20-31	他时常不无骄傲地告诉别人，
20-32	“别人在这儿找不到金子后便远远地离开，
20-33	而我的‘金子’#1是在这块土地里，只有诚实的人#1用勤劳#1才能采集到。”
20-34	节选自#1陶猛译#1《金子》
21-0	作品21号#《捐诚》
21-1	我在加拿大学习期间#1遇到过两次募捐，
21-2	那情景31至今使我#1难以忘怀。
21-3	一天，我在渥太华的街上#1被两个男孩子拦住去路。
21-4	他们十来岁，穿得整整齐齐，每人头上#1戴着个做工精巧、
21-5	色彩鲜艳的纸帽，上面写着“为帮助患小儿麻痹的伙伴募捐。”
21-6	其中的一个，不由分说#1就坐在小凳上给我擦起皮鞋来，
21-7	另一个#1则彬彬有礼地发问：
21-8	“小姐，您是哪国人？
21-9	喜欢渥太华吗？”
21-10	“小姐，在你们国家#1有没有小孩儿#1患小儿麻痹？
21-11	谁给他们医疗费？”
21-12	一连串的问题，
21-13	使我这个有生以来#1头一次在众目睽睽之下#1让别人擦鞋的异乡人，
21-14	从近乎狼狈的窘态中#1解脱出来。
21-15	我们像朋友一样#1聊起天儿来……
21-16	几个月之后，也是在街上。
21-17	一些十字路口处#1或车站#1坐着几位老人。
21-18	他们满头银发，身穿各种老式军装，
21-19	上面布满了#1大大小小#1形形色色的徽章、奖章。
21-20	每人手捧一大束鲜花，有水仙、石竹、
21-21	玫瑰#1及叫不出名字的，一色雪白。
21-22	匆匆过往的行人#1纷纷止步，
21-23	把钱#1投进这些老人身旁的#1白色木箱内，
21-24	然后#1向他们微微鞠躬，从他们手中#1接过一朵花。
21-25	我看了一会儿，有人投一两元，有人投几百元，
21-26	还有人#1掏出支票#1填好后#1投进木箱。
21-27	那些老军人#1毫不注意人们捐多少钱，一直不停地向人们低声道谢。
21-28	同行的朋友告诉我，这是为纪念二次大战中参战的勇士，
21-29	募捐救济残废军人#1和烈士遗孀，每年一次；
21-30	认捐的人#1可谓踊跃，而且秩序井然，气氛庄严。
21-31	有些地方，人们还耐心地排着队。
21-32	我想，这是因为他们都知道：
21-33	正是这些老人们的流血牺牲#1换来了包括他们信仰自由在内的#1许许多多。
21-34	我两次#1把那微不足道的一点儿钱捧给他们，只想对他们说声“谢谢”。
21-35	节选自#1青白#1《捐诚》
22-0	作品22号#1《可爱的小鸟》
22-1	没有一片绿叶，没有一缕炊烟，没有一粒泥土，
22-2	没有一丝花香，只有水的世界，云的海洋。
22-3	一阵台风袭过，一只孤单的小鸟#1无家可归，
22-4	落到#1被卷到洋里的木板上，乘流而下，
22-5	姗姗而来，近了，近了！……
22-6	忽然，小鸟张开翅膀，
22-7	在人们头顶盘旋了几圈儿，“噗啦”一声落到了船上。
22-8	许是累了？
22-9	还是发现了“新大陆”？
22-10	水手撵它#1它不走，抓它，它乖乖地#1落在掌心。
22-11	可爱的小鸟和善良的水手#1结成了朋友。
22-12	瞧，它多美丽，娇巧的小嘴，啄理着绿色的羽毛，
22-13	鸭子样的扁脚，呈现出春草的鹅黄。
22-14	水手们把它带到舱里，给它“搭铺”，让它在船上#1安家落户。
22-15	每天，把分到的一塑料筒淡水#1匀给它喝，
22-16	把从祖国带来的鲜美的鱼肉分给它吃，天长日久，
22-17	小鸟和水手的感情日趋笃厚。
22-18	清晨，当第一束阳光射进舷窗时，
22-19	它便敞开美丽的歌喉，唱啊唱，
22-20	嘤嘤有韵，宛如春水淙淙。
22-21	人类给它以生命，
22-22	它毫不悭吝地#1把自己的艺术青春#1奉献给了哺育它的人。
22-23	可能都是这样？
22-24	艺术家们的青春#1只会献给#1尊敬他们的人。
22-25	小鸟给远航生活#1蒙上了一层#1浪漫色调。
22-26	返航时，人们爱不释手，恋恋不舍地#1想把它带到异乡。
22-27	可小鸟憔悴了，给水，不喝！
22-28	喂肉，不吃！
22-29	油亮的羽毛失去了光泽。
22-30	是啊，我们有自己的祖国，小鸟#1也有它的归宿，
22-31	人和动物#1都是一样啊，哪儿#1也不如故乡好！
22-32	慈爱的水手们#1决定放开它，
22-33	让它回到大海的摇篮去，回到蓝色的故乡去。
22-34	离别前，这个大自然的朋友#1与水手们#1留影纪念。
22-35	它站在许多人的头上，肩上，掌上，胳膊上，
22-36	与喂养过它的人们，一起融进那#1蓝色的画面……
22-37	节选自#1王文杰#1《可爱的小鸟》
24-0	作品24号#1《莲花和樱花》
24-1	十年，在历史上不过是一瞬间。
24-2	只要稍加注意，人们就会发现：
24-3	在这一瞬间里，各种事物#1都悄悄经历了#1自己的千变万化。
24-4	这次重新访日，我处处感到#1亲切和熟悉，
24-5	也在许多方面#1发觉了日本的变化。
24-6	就拿奈良的一个角落来说吧，
24-7	我重游了为之感受很深的#1唐招提寺，
24-8	在寺内各处匆匆走了一遍，庭院依旧，
24-9	但意想不到#1还看到了一些#1新的东西。
24-10	其中之一，就是近几年#1从中国移植来的#1“友谊之莲”。
24-11	在存放鉴真遗像的#1那个院子里，几株中国莲#1昂然挺立，
24-12	翠绿的宽大荷叶#1正迎风而舞，显得十分愉快。
24-13	开花的季节已过，荷花朵朵#1已变为#1莲蓬累累。
24-14	莲子的颜色#1正在由青转紫，看来#1已经成熟了。
24-15	我禁不住想：“因”#1已转化为“果”。
24-16	中国的莲花#1开在日本，日本的樱花#1开在中国，这不是偶然。
24-17	我希望这样一种盛况#1延续不衰。
24-18	可能有人不欣赏花，但决不会有人#1欣赏落在自己面前的炮弹。
24-19	在这些日子里，我看到了不少#1多年不见的老朋友，
24-20	又结识了一些新朋友。
24-21	大家喜欢涉及的话题之一，就是#1古长安#1和古奈良。
24-22	那还用得着问吗，朋友们缅怀过去，正是瞩望未来。
24-23	瞩目于未来的人们#1必将获得未来。
24-24	我不例外，也希望一个美好的未来。
24-25	为了中日人民之间的友谊，我将不浪费#1今后生命的#1每一瞬间。
24-26	节选自#1严文井#1《莲花和樱花》
25-0	作品25号#1《绿》
25-1	梅雨潭闪闪的绿色#1招引着我们，
25-2	我们开始追捉她那离合的神光了。
25-3	揪着草，攀着乱石，小心探身下去，
25-4	又鞠躬#1过了一个石穹门，便到了#1汪汪一碧的潭边了。
25-5	瀑布#1在襟袖之间，但是我的心中#1已没有瀑布了。
25-6	我的心#1随潭水的绿而摇荡。那醉人的绿呀！
25-7	仿佛一张极大极大的荷叶铺着，满是奇异的绿呀。
25-8	我想张开两臂抱住她，但这是怎样一个妄想啊。
25-9	站在水边，望到那面，居然觉着#1有些远呢！
25-10	这平铺着、厚积着的绿，着实可爱。
25-11	她松松地皱缬着，像少妇#1拖着的裙幅；
25-12	她滑滑的明亮着，像涂了“明油”一般，有鸡蛋清那样软，那样嫩；
25-13	她又不杂些尘滓，宛然一块#1温润的碧玉，
25-14	只清清的一色——但你#1却看不透她！
25-15	我曾见过#1北京什刹海拂地的绿杨，脱不了鹅黄的底子，似乎太淡了。
25-16	我又曾见过#1杭州虎跑寺近旁高峻而深密的“绿壁”，
25-17	丛叠着无穷的碧草与绿叶的，那又似乎太浓了。
25-18	其余呢，西湖的波太明了，秦淮河的#1也太暗了。
25-19	可爱的，我将什么#1来比拟你呢？
25-20	我怎么比拟得出呢？
25-21	大约潭是很深的，故能蕴蓄着#1这样奇异的绿；
25-22	仿佛蔚蓝的天#1融了一块在里面似的，这才这般的鲜润啊。
25-23	那醉人的绿呀！
25-24	我若能裁你以为带，
25-25	我将赠给那轻盈的舞女，她必能#1临风飘举了。
25-26	我若能挹你以为眼，我将赠给那#1善歌的盲妹，她必明眸善睐了。
25-27	我舍不得你，我怎舍得你呢？
25-28	我用手拍着你，抚摩着你，如同一个十二三岁的小姑娘。
25-29	我又掬你入口，便是#1吻着她了。
25-30	我送你一个名字，我从此#1叫你“女儿绿”，好吗？
25-31	第二次到仙岩的时候，我不禁惊诧于#1梅雨潭的绿了。
25-32	节选自#1朱自清#1《绿》
26-0	作品26号#1《落花生》
26-1	我们家的后园#1有半亩空地，母亲说：
26-2	“让它荒着怪可惜的，你们那么爱吃花生，就开辟出来种花生吧。”
26-3	我们姐弟几个都很高兴，买种，翻地，
26-4	播种，浇水，没过几个月，居然收获了。
26-5	母亲说：“今晚我们过一个收获节，
26-6	请你们父亲#1也来尝尝我们的新花生，好不好？”
26-7	我们都说好。
26-8	母亲把花生#1做成了好几样食品，
26-9	还吩咐#1就在后园的茅亭里#1过这个节。
26-10	晚上天色不太好，可是父亲也来了，实在很难得。
26-11	父亲说：“你们爱吃花生吗？”
26-12	我们争着答应：“爱！”
26-13	“谁能把花生的好处说出来？”
26-14	姐姐说：“花生的味美。”
26-15	哥哥说：“花生可以榨油。”
26-16	我说：“花生的价钱便宜，谁都可以买来吃，都喜欢吃。这#1就是它的好处。”
26-17	父亲说：“花生的好处很多，有一样最可贵：
26-18	它的果实埋在地里，不像桃子、石榴、苹果那样，
26-19	把鲜红嫩绿的果实#1高高地挂在枝头上，使人一见#1就生爱慕之心。
26-20	你们看它矮矮地长在地上，等到成熟了，
26-21	也不能立刻分辨出来#1它有没有果实，必须挖出来才知道。”
26-22	我们都说是，母亲也点点头。
26-23	父亲接下去说：“所以你们要像花生，它虽然不好看，
26-24	可是很有用，不是外表好看#1而没有实用的东西。”
26-25	我说：“那么，人要做有用的人，不要做#1只讲体面，而对别人没有好处的人了。”
26-26	父亲说：“对。这是我对你们的希望。”
26-27	我们#1谈到夜深才散。花生做的食品都吃完了，
26-28	父亲的话#1却深深地#1印在我的心上。
26-29	节选自#1许地山#1《落花生》
27-0	作品27号#1《麻雀》
27-1	我打猎归来，沿着花园的林阴路走着。
27-2	狗跑在我前边。
27-3	突然，狗放慢脚步，蹑足潜行，好像嗅到了前边有什么野物。
27-4	我顺着林阴路望去，看见了一只#1嘴边还带黄色、头上生着柔毛的小麻雀。
27-5	风猛烈地吹打着林阴路上的白桦树，麻雀#1从巢里跌落下来，
27-6	呆呆地伏在地上，孤立无援地#1张开两只羽毛还未丰满的小翅膀。
27-7	我的狗#1慢慢向它靠近。
27-8	忽然，从附近一棵树上#1飞下一只黑胸脯的老麻雀，
27-9	像一颗石子似的#1落到狗的跟前。
27-10	老麻雀全身倒竖着羽毛，惊恐万状，发出绝望、
27-11	凄惨的叫声，接着向露出牙齿、大张着的狗嘴扑去。
27-12	老麻雀是猛扑下来救护幼雀的。
27-13	它用身体#1掩护着自己的幼儿……
27-14	但它整个小小的身体#1因恐怖而战栗着，
27-15	它小小的声音#1也变得粗暴嘶哑，它在牺牲自己！
27-16	在它看来，狗该是多么庞大的怪物啊！
27-17	然而，它还是不能#1站在自己高高的、安全的树枝上……
27-18	一种比它的理智更强烈的力量，使它从那儿#1扑下身来。
27-19	我的狗站住了，向后退了退……
27-20	看来，它也感到了#1这种力量。
27-21	我赶紧唤住惊慌失措的狗，然后#1我怀着崇敬的心情，走开了。
27-22	是啊，请不要见笑。
27-23	我崇敬那只小小的、英勇的鸟儿，我崇敬它那种爱的冲动#1和力量。
27-24	爱，我想，比死#1和死的恐惧更强大。
27-25	只有依靠它，依靠这种爱，
27-26	生命才能维持下去，发展下去。
27-27	节选自#1[俄]#1屠格涅夫#1《麻雀》，
27-28	巴金译
28-0	作品28号#1《迷途笛音》
28-1	那年我六岁。
28-2	离我家#1仅一箭之遥的小山坡旁，有一个#1早已被废弃的采石场，
28-3	双亲从来不准我去那儿，其实#1那儿风景十分迷人。
28-4	一个夏季的下午，我随着一群小伙伴#1偷偷上那儿去了。
28-5	就在我们#1穿越了一条#1孤寂的小路后，
28-6	他们却把我一个人留在原地，然后奔向#1“更危险的地带”了。
28-7	等他们走后，我惊慌失措地发现，
28-8	再也找不到#1要回家的#1那条孤寂的小道了。
28-9	像只无头的苍蝇，我到处乱钻，衣裤上#1挂满了芒刺。
28-10	太阳已经落山，而此时此刻，
28-11	家里#1一定开始吃晚餐了，双亲#1正盼着我回家……
28-12	想着想着，我不由得#1背靠着一棵树，伤心地#1呜呜大哭起来……
28-13	突然，不远处#1传来了声声柳笛。
28-14	我像找到了救星，急忙循声走去。
28-15	一条小道边的树桩上#1坐着一位吹笛人，手里#1还正削着什么。
28-16	走近细看，他不就是#1被大家称为“乡巴佬儿”的卡廷吗？
28-17	“你好，小家伙儿，”
28-18	卡廷说，“看天气多美，你是出来散步的吧？”
28-19	我怯生生地点点头，答道：“我要回家了。”
28-20	“请耐心等上几分钟，”
28-21	卡廷说，“瞧，我正在削一支柳笛，差不多就要做好了，完工后就送给你吧！”
28-22	卡廷#1边削边不时把尚未成形的柳笛#1放在嘴里试吹一下。
28-23	没过多久，一支柳笛#1便递到我手中。
28-24	我俩在一阵阵清脆悦耳的笛音中，踏上了归途……
28-25	当时，我心中#1只充满感激，而今天，
28-26	当我自己#1也成了祖父时，却突然领悟到#1他用心之良苦！
28-27	那天#1当他听到我的哭声时，便判定#1我一定迷了路，
28-28	但他并不想在孩子面前#1扮演“救星”的角色，
28-29	于是吹响柳笛以便让我能发现他，并跟着他#1走出困境！
28-30	就这样，卡廷先生#1以乡下人的纯朴，
28-31	保护了#1一个小男孩儿强烈的自尊。
28-32	节选自#1唐若水译#1《迷途笛音》
29-0	作品29号#1《莫高窟》
29-1	在浩瀚无垠的沙漠里，有一片美丽的绿洲，
29-2	绿洲里藏着一颗闪光的珍珠。
29-3	这颗珍珠#1就是敦煌莫高窟。
29-4	它坐落在#1我国甘肃省#1敦煌市#1三危山#1和鸣沙山的怀抱中。
29-5	鸣沙山东麓#1是平均高度#1为十七米的崖壁。
29-6	在一千六百多米长的崖壁上，
29-7	凿有大小洞窟#1七百余个，形成了#1规模宏伟的#1石窟群。
29-8	其中#1四百九十二个洞窟中，
29-9	共有彩色塑像#1两千一百余尊，
29-10	各种壁画#1共四万五千多平方米。
29-11	莫高窟#1是我国古代无数艺术匠师#1留给人类的#1珍贵文化遗产。
29-12	莫高窟的彩塑，每一尊#1都是一件精美的艺术品。
29-13	最大的#1有九层楼那么高，最小的#1还不如一个手掌大。
29-14	这些彩塑#1个性鲜明，神态各异。有慈眉善目的菩萨，
29-15	有威风凛凛的天王，还有强壮勇猛的力士……
29-16	莫高窟壁画的内容#1丰富多彩，有的#1是描绘古代劳动人民打猎、
29-17	捕鱼、耕田、收割的情景，有的#1是描绘人们奏乐、舞蹈、
29-18	演杂技的场面，还有的#1是描绘大自然的#1美丽风光。
29-19	其中#1最引人注目的#1是飞天。
29-20	壁画上的飞天，有的臂挎花篮，采摘鲜花；
29-21	有的反弹琵琶，轻拨银弦；
29-22	有的倒悬身子，自天而降；
29-23	有的彩带飘拂，漫天遨游；
29-24	有的舒展着双臂，翩翩起舞。
29-25	看着这些精美动人的壁画，就像走进了#1灿烂辉煌的#1艺术殿堂。
29-26	莫高窟里还有一个面积不大的洞窟——藏经洞。
29-27	洞里曾藏有#1我国古代的各种经卷、
29-28	文书、帛画、刺绣、铜像等#1共六万多件。
29-29	由于清朝政府腐败无能，大量珍贵的文物#1被外国强盗掠走。
29-30	仅存的部分经卷，现在#1陈列于#1北京故宫等处。
29-31	莫高窟#1是举世闻名的#1艺术宝库。
29-32	这里的每一尊彩塑、每一幅壁画、
29-33	每一件文物，都是中国#1古代人民#1智慧的结晶。
29-34	节选自#1小学《语文》第六册中#1《莫高窟》
30-0	作品30号#1《牡丹的拒绝》
30-1	其实#1你在很久以前#1并不喜欢牡丹，
30-2	因为#1它总被人#1作为富贵膜拜。
30-3	后来#1你目睹了一次牡丹的落花，你相信#1所有的人#1都会为之感动：
30-4	一阵清风徐来，娇艳鲜嫩的盛期牡丹#1忽然整朵整朵地坠落，
30-5	铺撒一地绚丽的花瓣。
30-6	那花瓣落地时依然#1鲜艳夺目，
30-7	如同一只奉上祭坛的大鸟脱落的羽毛，
30-8	低吟着#1壮烈的#1悲歌离去。
30-9	牡丹没有花谢花败之时，要么烁于枝头，
30-10	要么归于泥土，它跨越萎顿和衰老，
30-11	由青春而死亡，由美丽而消遁。
30-12	它虽美#1却不吝惜生命，
30-13	即使告别#1也要展示给人#1最后一次的#1惊心动魄。
30-14	所以#1在这阴冷的四月里，奇迹不会发生。
30-15	任凭游人扫兴和诅咒，牡丹依然#1安之若素。
30-16	它不苟且、不俯就、不妥协、不媚俗，甘愿自己冷落自己。
30-17	它遵循自己的花期#1自己的规律，
30-18	它有权利为自己选择#1每年一度的盛大节日。
30-19	它为什么#1不拒绝寒冷？
30-20	天南海北的看花人,依然络绎不绝地涌入洛阳城。
30-21	人们不会因牡丹的拒绝#1而拒绝它的美。
30-22	如果#1它再被贬谪十次，也许#1它就会繁衍出#1十个洛阳牡丹城。
30-23	于是#1,你在无言的遗憾中感悟到，富贵与高贵#1只是一字之差。
30-24	同人一样，花儿#1也是有灵性的，更有品位之高低。
30-25	品位这东西#1为气#1为魂#1为筋骨#1为神韵，只可意会。
30-26	你叹服#1牡丹卓而不群之姿，
30-27	方知品位#1是多么容易#1被世人忽略#1或是漠视的美。
30-28	节选自#1张抗抗#1《牡丹的拒绝》
31-0	作品31号#1《“能吞能吐”的森林》
31-1	森林#1涵养水源，保持水土，防止水旱灾害的作用非常大。
31-2	据专家测算，一片十万亩面积的森林，
31-3	相当于#1一个两百万立方米的水库，这正如#1农谚所说的：
31-4	“山上多栽树，等于修水库。
31-5	雨多它能吞，雨少它能吐。”
31-6	说起森林的功劳，那还多得很。
31-7	它除了为人类提供木材及许多种生产、
31-8	生活的原料之外，在维护生态环境方面#1也是功劳卓著。
31-9	它用另一种#1“能吞能吐”的特殊功能#1孕育了人类。
31-10	因为地球在形成之初，大气中的二氧化碳#1含量很高，
31-11	氧气很少，气温也高，生物是难以生存的。
31-12	大约在四亿年之前，陆地才产生了森林。
31-13	森林#1慢慢将大气中的二氧化碳吸收，
31-14	同时吐出新鲜氧气，调节气温：
31-15	这才具备了人类生存的条件，地球上#1才最终有了人类。
31-16	森林，是地球生态系统的主体，
31-17	是大自然的总调度室，是地球的绿色之肺。
31-18	森林维护地球生态环境的这种“能吞能吐”的
31-19	特殊功能#1是其他任何物体#1都不能取代的。
31-20	然而，由于地球上的燃烧物增多，二氧化碳的排放量#1急剧增加，
31-21	使得地球生态环境#1急剧恶化，主要表现为#1全球气候变暖，
31-22	水分蒸发加快，改变了气流的循环，使气候#1变化加剧，
31-23	从而引发#1热浪、飓风、暴雨、洪涝#1及干旱。
31-24	为了使地球的这个“能吞能吐”的绿色之肺恢复健壮，
31-25	以改善生态环境，抑制全球变暖，减少水旱#1等自然灾害，
31-26	我们应该大力造林、护林，使每一座荒山都绿起来。
31-27	节选自#1《中考语文课外阅读试题精选》中#1《“能吞能吐”的森林》
32-0	作品32号#1《朋友和其他》
32-1	朋友即将远行。
32-2	暮春时节，又邀了几位朋友#1在家小聚。
32-3	虽然都是极熟的朋友，却是终年难得一见，
32-4	偶尔电话里相遇，也无非是#1几句寻常话。
32-5	一锅小米稀饭，一碟大头菜，一盘自家酿制的泡菜，
32-6	一只巷口买回的烤鸭，简简单单，不像请客，倒像家人团聚。
32-7	其实，友情也好，爱情也好，久而久之#1都会转化为亲情。
32-8	说也奇怪，和新朋友会谈文学、谈哲学、谈人生道理等等，
32-9	和老朋友#1却只话家常，柴米油盐，细细碎碎，种种琐事。
32-10	很多时候，心灵的契合#1已经不需要#1太多的言语来表达。
32-11	朋友新烫了个头，不敢回家见母亲，恐怕惊骇了老人家，
32-12	却欢天喜地#1来见我们，老朋友颇能以一种趣味性的眼光#1欣赏这个改变。
32-13	年少的时候，我们差不多都在为别人而活，
32-14	为苦口婆心的父母活，为循循善诱的师长活，
32-15	为许多观念、许多传统的约束力而活。
32-16	年岁逐增，渐渐挣脱外在的限制与束缚，
32-17	开始懂得为自己活，照自己的方式#1做一些自己喜欢的事，
32-18	不在乎别人的批评意见，不在乎别人的诋毁流言，
32-19	只在乎那一份随心所欲的舒坦自然。
